Department Abbreviation,Course Name,Course Number,Credits,Recommendations,Length,NCAA Approved,Elective,Grade,Fee,Description,Notes,Fine Arts Sub-Department,CTE Sub-Department
CTE,Principles of Marketing- Fundamentals,84309,1,N/A,Year,No,Yes,"9, 10, 11, 12",$20/YR,"Fundamentals of Marketing is an introductory course that explores the processes of marketing and the channels the products/services take from the producer to the consumer. The student studies basic economic and marketing concepts. Areas of study are Career Readiness, Marketing Strategies and the Free Market Economy.","Successful completion of Fundamentals of Marketing and Advanced Marketing fulfills the Economics graduation requirement. DECA, an association of marketing students, is an integral part of this program.",,"Business, Marketing, & Finance"
CTE,Introduction to Business Management,84320,1,Fundamentals of Marketing,Year,No,Yes,"9, 10, 11, 12",$20/YR,"This course surveys an array of topics and concepts related to the field of business. This course introduces business concepts such as banking and finance; the role of government in business, consumerism, credit, investment, and management.",,,"Business, Marketing, & Finance"
CTE,Marketing Management,84315,1,Fundamentals of Marketing,Year,No,Yes,"10, 11, 12",$20/YR,"Advanced Marketing provides an in-depth study of the components of the marketing mix. The student acquires knowledge in the areas of marketing planning, ethics, economics, products, services, and pricing. Other areas of study include Career Readiness, Marketing Strategies, Free Market Economy, and Marketing Research.","Successful completion of Fundamentals of Marketing and Advanced Marketing fulfills the Economics graduation requirement. DECA, an association of marketing students, is an integral part of this program.",,"Business, Marketing, & Finance"
CTE,Business Management /BA1101 Introduction to Business Dual Credit,84310,1,Fundamentals of Marketing and Advanced Marketing,Year,No,Yes,"10, 11, 12",$20/YR,"Business Management is an instructional program that prepares individuals to undertake management of an existing enterprise, which includes franchise operations. Emphasis is given to management, social responsibilities, legal requirements, and risks involved in the conduct of a private enterprise. The formal study of management is an increasingly critical area of importance in business with emphasis in analyzing, synthesizing and evaluating data to make decisions for the business. Areas of study are career readiness, general management, human resources development, economics, and legal issues and ethics.","DECA, an association of marketing students, is an integral part of this program. Dual credit for Introduction to Business. Fulfills dual credit and government graduation requirements for graduation.",,
CTE,Marketing Mentorship      ,84312,1,Fundamentals of Marketing and Advanced Marketing,Year,No,Yes,"10, 11, 12",$20/YR,"In Marketing Mentorship, the student is introduced to marketing skills in a hands-on, school-based enterprise environment. The student develops and practices necessary skills for employment in a controlled learning situation. Areas of study include financial
measures, facilities and equipment management, marketing functions, and career readiness.
",,,
CTE,Marketing Lab I,84313,1,Fundamentals of Marketing and Advanced Marketing,Year,No,Yes,"10, 12, 12",$20/YR,"Course work experience is gained in marketing-related careers in one of several industries. This course may include work-study, internships, school-based enterprises, service learning, mentor programs, or job shadowing experiences. Standards are set for the experience period and related classroom experience will align with occupational training in the field.",,,
CTE,Marketing Lab Advanced ,84314,1,Fundamentals of Marketing and Advanced Marketing,Year,No,Yes,"10, 12, 12",$20/YR,"The student schedules and manages peers in a controlled learning environment and applies managerial principles in daily retail activities. Areas of study are financial measures, facilities and equipment management, marketing functions, and career readiness.
",,,
CTE,Mass Media Communications,53014,1,,Year,No,Yes,"9, 10, 11, 12",$20/YR,"Mass Media-Communications - Recommended for Students Grades 9 - 12 - Course enables students to understand and critically evaluate the role of media in society. Course content typically includes investigation of visual images, printed material, and audio segments as tools of information, entertainment, and propaganda; improvement of presentation and evaluative skills in relation to mass media; recognition of various techniques for delivery of a particular message; and, in some cases, creation of a media product.",,,
CTE,ACE Marketing I,86111,1,Enrollment in a simultaneous business course is required.,Year,No,Yes,"10, 11, 12",,"through work experiences as supported by portfolio, the student explores personal and career interests, aptitudes and abilities. Personal management of time, health, and finances are also included. The necessary components of a productive and successful career are examined: technical knowledge, responsible and ethical behavior, and goal setting. Literacy strategies are integrated throughout the course.",,,"Business, Marketing, & Finance"
CTE,ACE Marketing II,86114,1,Teacher Approval,Year,No,Yes,"11, 12",,"the student develops career decision-making and employability skills to gain an understanding of workplace cultures and expectations. The student develops an understanding of the competing demands and responsibilities that are part of the world of work and learns how to balance those roles in his/her own life. The ability to work well with others; understand complex interrelationships; work with a variety of technologies; acquire and use information; organize, plan, and allocate resources; and safety are included in the curriculum and evidenced through a portfolio. Literacy strategies are integrated throughout the course.","Simultaneous enrollment in a Business  course, and teacher recommendation are required. The student  has an interview with an instructor of the course.  ",,"Business, Marketing, & Finance"
